ID,CATEGORY_A,CATEGORY_B,NUMERIC_1,NUMERIC_2,NUMERIC_3,LABEL
1,alpha,high,70.49,50.99,356,1
2,beta,medium,45.84,6.66,308,1
3,beta,high,70.81,65.84,468,0
4,alpha,medium,59.86,72.32,250,1
5,beta,low,31.79,80.44,307,0
6,alpha,medium,68.22,51.91,349,1
7,alpha,low,59.07,56.79,340,0
8,alpha,medium,60.96,83.0,398,1
9,alpha,low,50.42,91.23,200,1
10,alpha,high,37.94,75.71,324,1
11,alpha,medium,41.47,63.72,294,0
12,beta,high,31.66,55.6,462,1
13,alpha,medium,31.75,8.38,144,1
14,beta,medium,18.88,52.32,204,1
15,alpha,high,63.04,81.86,436,1
16,alpha,high,71.47,71.03,106,1
17,beta,high,40.99,98.36,50,0
18,beta,high,45.65,68.15,273,0
19,beta,low,55.76,98.15,377,1
20,beta,high,65.55,40.79,286,1
21,alpha,medium,47.7,57.53,130,1
22,beta,high,57.14,87.21,169,0
23,alpha,high,65.46,90.05,170,1
24,alpha,medium,41.22,84.14,69,1
25,alpha,low,50.04,72.51,374,1
26,beta,high,35.59,62.43,348,0
27,beta,high,54.22,48.61,352,1
28,alpha,low,14.24,36.79,376,0
29,alpha,low,41.61,63.13,407,1
30,beta,medium,44.32,20.66,126,0
31,alpha,low,31.42,9.38,163,0
32,beta,low,53.22,41.58,391,0
33,alpha,medium,34.6,67.11,329,1
34,beta,high,37.56,47.9,331,0
35,beta,medium,48.45,34.9,481,1
36,alpha,high,45.69,34.41,393,1
37,beta,medium,67.35,60.61,433,0
38,beta,low,62.27,65.07,466,1
39,alpha,low,35.78,31.16,75,1
40,beta,high,44.57,76.99,95,1
41,beta,high,43.56,9.39,184,1
42,alpha,medium,41.59,18.08,107,1
43,alpha,high,61.5,95.12,494,1
44,alpha,low,21.07,65.71,326,1
45,alpha,low,57.57,20.83,304,0
46,alpha,medium,41.1,26.08,297,1
47,alpha,low,31.29,90.6,317,1
48,beta,low,41.64,2.71,308,0
49,alpha,high,59.83,15.43,453,1
50,alpha,high,50.81,7.21,303,1
51,alpha,low,34.48,85.04,457,1
52,alpha,low,36.12,63.77,453,1
53,alpha,high,63.97,19.48,14,0
54,alpha,medium,58.74,87.19,329,1
55,alpha,low,38.84,78.73,127,1
56,beta,high,45.34,69.67,91,1
57,alpha,high,33.07,40.65,394,0
58,beta,medium,65.8,29.15,149,1
59,alpha,medium,38.29,55.55,153,0
60,beta,low,53.81,73.71,434,1
61,beta,high,29.13,86.06,4,1
62,beta,low,54.0,62.83,245,0
63,beta,low,48.18,81.76,77,0
64,beta,high,49.68,13.4,493,1
65,alpha,medium,68.36,60.07,394,0
66,alpha,low,73.17,27.0,66,1
67,alpha,high,75.58,82.98,414,0
68,beta,high,63.17,18.15,178,1
69,alpha,low,38.25,76.85,36,1
70,beta,low,56.83,34.24,142,1
71,beta,medium,26.51,68.93,31,1
72,alpha,high,68.71,15.87,213,0
73,alpha,high,57.26,9.45,256,1
74,beta,high,52.92,97.04,481,1
75,alpha,medium,74.04,57.09,222,0
76,beta,medium,76.75,59.25,484,1
77,beta,medium,50.43,15.96,160,1
78,alpha,medium,58.27,98.44,256,1
79,beta,medium,54.76,76.67,482,1
80,beta,high,35.37,63.95,99,1
81,beta,high,38.51,21.7,326,1
82,alpha,high,18.12,47.93,464,0
83,alpha,low,27.73,12.38,451,1
84,beta,high,57.79,35.32,324,0
85,beta,high,50.01,21.92,453,1
86,alpha,medium,53.05,90.65,279,1
87,beta,medium,37.7,25.75,486,0
88,beta,high,48.2,82.11,49,1
89,beta,high,55.57,23.45,271,0
90,alpha,low,40.98,18.23,428,1
91,beta,low,60.91,13.72,80,0
92,alpha,low,53.97,5.53,358,1
93,alpha,high,69.72,91.57,162,1
94,alpha,medium,43.75,28.48,55,1
95,beta,high,68.67,42.45,215,1
96,alpha,high,55.9,72.13,100,0
97,alpha,low,47.48,59.42,290,1
98,alpha,medium,54.1,85.99,170,1
99,beta,medium,42.19,90.96,100,1
100,alpha,low,34.33,68.9,179,0
101,beta,medium,54.91,90.04,220,1
102,alpha,medium,41.44,50.66,480,1
103,alpha,medium,54.77,81.49,121,1
104,alpha,low,72.43,16.13,139,0
105,alpha,low,43.19,84.24,405,1
106,alpha,high,34.27,16.31,181,0
107,alpha,medium,67.14,93.81,155,1
108,alpha,medium,55.65,34.23,264,0
109,beta,low,45.9,29.22,151,0
110,beta,medium,50.25,76.72,290,1
111,alpha,medium,55.52,12.71,471,0
112,alpha,medium,81.07,41.85,71,1
113,beta,medium,42.08,23.51,418,0
114,beta,low,76.19,51.81,467,0
115,alpha,medium,49.1,29.46,56,1
116,beta,high,34.26,7.45,300,0
117,alpha,low,48.85,8.48,221,0
118,alpha,medium,65.76,98.51,359,1
119,alpha,low,49.12,91.29,238,0
120,beta,medium,41.92,96.77,5,0
121,alpha,low,91.31,99.3,43,1
122,alpha,low,25.0,94.41,35,1
123,beta,medium,37.45,95.81,293,1
124,beta,medium,66.21,10.22,178,0
125,alpha,high,50.9,54.0,238,1
126,beta,high,37.27,55.14,483,1
127,beta,low,28.56,3.37,395,0
128,alpha,medium,65.49,49.64,294,1
129,beta,low,30.77,2.65,91,0
130,alpha,medium,52.59,92.11,188,0
131,alpha,low,65.7,80.08,152,1
132,alpha,low,26.53,16.14,203,0
133,beta,low,67.31,21.6,115,0
134,alpha,low,41.84,57.12,68,1
135,alpha,medium,36.95,44.41,164,0
136,beta,high,48.12,24.94,373,1
137,beta,high,30.47,52.95,465,0
138,beta,high,56.31,77.98,225,1
139,alpha,medium,54.2,0.87,408,1
140,alpha,medium,58.36,43.83,101,0
141,beta,medium,65.05,81.59,325,1
142,alpha,high,48.24,83.09,259,1
143,alpha,low,47.5,69.93,413,1
144,beta,medium,35.63,48.93,278,0
145,beta,high,58.77,32.16,418,0
146,alpha,high,42.1,11.91,273,0
147,beta,high,42.67,93.41,371,0
148,beta,low,36.52,39.87,229,0
149,beta,medium,44.8,22.09,271,0
150,alpha,medium,43.32,27.91,413,0
151,beta,high,28.32,64.39,402,1
152,alpha,medium,24.03,33.87,112,1
153,alpha,high,39.97,4.66,341,0
